ca.rmen.android.scrumchatter - Installs by user by Android Version for 2013-06-29 - 2019-02-24
,,Metric,Installs by user,Notes
,,Dimension,All Android versions
Period,Date
2013-06-29 - 2019-02-24,2014-08-18,,2
2013-06-29 - 2019-02-24,2014-08-19,,1
2013-06-29 - 2019-02-24,2014-08-20,,1
2013-06-29 - 2019-02-24,2014-08-21,,-
2013-06-29 - 2019-02-24,2014-08-22,,2
2013-06-29 - 2019-02-24,2014-08-23,,1
2013-06-29 - 2019-02-24,2014-08-24,,-
2013-06-29 - 2019-02-24,2014-08-25,,-
2013-06-29 - 2019-02-24,2014-08-26,,-
2013-06-29 - 2019-02-24,2014-08-27,,-
2013-06-29 - 2019-02-24,2014-08-28,,-
2013-06-29 - 2019-02-24,2014-08-29,,1
2013-06-29 - 2019-02-24,2014-08-30,,-
2013-06-29 - 2019-02-24,2014-08-31,,1
2013-06-29 - 2019-02-24,2014-09-01,,-
2013-06-29 - 2019-02-24,2014-09-02,,-
2013-06-29 - 2019-02-24,2014-09-03,,-
2013-06-29 - 2019-02-24,2014-09-04,,1
2013-06-29 - 2019-02-24,2014-09-05,,-
2013-06-29 - 2019-02-24,2014-09-06,,1
2013-06-29 - 2019-02-24,2014-09-07,,-
2013-06-29 - 2019-02-24,2014-09-08,,1
2013-06-29 - 2019-02-24,2014-09-09,,-
2013-06-29 - 2019-02-24,2014-09-10,,1
2013-06-29 - 2019-02-24,2014-09-11,,1
2013-06-29 - 2019-02-24,2014-09-12,,2
2013-06-29 - 2019-02-24,2014-09-13,,2
2013-06-29 - 2019-02-24,2014-09-14,,1
2013-06-29 - 2019-02-24,2014-09-15,,-
2013-06-29 - 2019-02-24,2014-09-16,,1
2013-06-29 - 2019-02-24,2014-09-17,,2
2013-06-29 - 2019-02-24,2014-09-18,,1
2013-06-29 - 2019-02-24,2014-09-19,,1
2013-06-29 - 2019-02-24,2014-09-20,,3
2013-06-29 - 2019-02-24,2014-09-21,,-
2013-06-29 - 2019-02-24,2014-09-22,,2
2013-06-29 - 2019-02-24,2014-09-23,,-
2013-06-29 - 2019-02-24,2014-09-24,,1
2013-06-29 - 2019-02-24,2014-09-25,,-
2013-06-29 - 2019-02-24,2014-09-26,,-
